,ARWF1
2018-01-01,70.82163120567377
2018-01-02,82.76076388888889
2018-01-03,85.69444444444444
2018-01-04,38.75625
2018-01-05,7.472222222222222
2018-01-06,127.08472222222223
2018-01-07,64.47916666666667
2018-01-08,83.31666666666666
2018-01-09,115.47951388888889
2018-01-10,22.07638888888889
2018-01-11,14.67654513888889
2018-01-12,58.285069444444446
2018-01-13,83.2767361111111
2018-01-14,106.8625
2018-01-15,131.94375
2018-01-16,48.82534722222223
2018-01-17,2.2923611111111106
2018-01-18,47.21979166666667
2018-01-19,63.16458333333333
2018-01-20,87.6701388888889
2018-01-21,29.290972222222223
2018-01-22,71.46979166666667
2018-01-23,112.38159722222223
2018-01-24,66.40138888888889
2018-01-25,38.25590277777778
2018-01-26,24.480902777777775
2018-01-27,9.088541666666666
2018-01-28,47.97291666666666
2018-01-29,118.67881944444444
2018-01-30,196.76631944444443
2018-01-31,176.1170138888889
2018-02-01,137.39027777777778
2018-02-02,90.50208333333335
2018-02-03,80.13437499999999
2018-02-04,17.576041666666665
2018-02-05,18.540277777777778
2018-02-06,29.43472222222222
2018-02-07,29.319444444444443
2018-02-08,55.40555555555556
2018-02-09,15.302777777777777
2018-02-10,111.45416666666667
2018-02-11,89.234375
2018-02-12,52.932291666666664
2018-02-13,20.836458333333333
2018-02-14,117.66701388888889
2018-02-15,20.507291666666667
2018-02-16,43.76909722222222
2018-02-17,26.648958333333336
2018-02-18,42.54826388888889
2018-02-19,147.02141319444445
2018-02-20,19.91736111111111
2018-02-21,43.387499999999996
2018-02-22,40.32592708333333
2018-02-23,108.91180555555555
2018-02-24,113.15833333333335
2018-02-25,181.05381944444446
2018-02-26,24.761805555555554
2018-02-27,92.45451388888888
2018-02-28,149.3357638888889
2018-03-01,87.59826388888888
2018-03-02,3.658333333333333
2018-03-03,83.73194444444444
2018-03-04,81.71249999999999
2018-03-05,144.81840277777778
2018-03-06,88.5823923611111
2018-03-07,16.52634375
2018-03-08,11.185069444444444
2018-03-09,6.878472222222221
2018-03-10,18.66111111111111
2018-03-11,95.70694444444445
2018-03-12,172.67916666666667
2018-03-13,112.30046875
2018-03-14,88.44965277777777
2018-03-15,64.91527777777777
2018-03-16,22.18993055555556
2018-03-17,110.58541666666667
2018-03-18,120.75937499999999
2018-03-19,57.42152777777778
2018-03-20,155.35694444444445
2018-03-21,73.37916666666666
2018-03-22,88.99444444444445
2018-03-23,89.29305555555555
2018-03-24,39.422916666666666
2018-03-25,157.99791666666667
2018-03-26,95.19027777777778
2018-03-27,72.9195763888889
2018-03-28,89.77916666666665
2018-03-29,44.440625000000004
2018-03-30,45.98020833333334
2018-03-31,14.288194444444445
2018-04-01,37.229166666666664
2018-04-02,89.66284722222223
2018-04-03,64.51215277777779
2018-04-04,49.30659722222222
2018-04-05,41.17881944444444
2018-04-06,54.65694444444444
2018-04-07,1.247222222222222
2018-04-08,81.73090277777779
2018-04-09,18.755902777777777
2018-04-10,30.85971875
2018-04-11,18.164930555555557
2018-04-12,75.8638888888889
2018-04-13,107.59861111111111
2018-04-14,128.08333333333334
2018-04-15,64.78159722222223
2018-04-16,78.54513888888889
2018-04-17,71.17569444444445
2018-04-18,8.112152777777778
2018-04-19,-0.9979166666666667
2018-04-20,2.821180555555556
2018-04-21,12.759375
2018-04-22,-0.010069444444444445
2018-04-23,23.668402777777775
2018-04-24,26.501736111111114
2018-04-25,12.809722222222222
2018-04-26,45.45173611111111
2018-04-27,44.560069444444444
2018-04-28,25.09340277777778
2018-04-29,60.68090277777778
2018-04-30,4.414236111111111
2018-05-01,45.41909722222223
2018-05-02,87.3704861111111
2018-05-03,97.71354166666667
2018-05-04,69.68611111111112
2018-05-05,25.941666666666666
2018-05-06,15.1625
2018-05-07,138.178125
2018-05-08,8.495833333333334
2018-05-09,59.22847222222222
2018-05-10,93.28333333333335
2018-05-11,179.91631944444444
2018-05-12,206.07708333333335
2018-05-13,114.31631944444445
2018-05-14,33.35659722222222
2018-05-15,86.78263888888888
2018-05-16,63.30104166666666
2018-05-17,30.78159722222222
2018-05-18,41.68541666666666
2018-05-19,15.78125
2018-05-20,45.560069444444444
2018-05-21,91.61221875
2018-05-22,82.37871180555555
2018-05-23,63.363194444444446
2018-05-24,56.23333333333333
2018-05-25,8.656944444444443
2018-05-26,44.69340277777778
2018-05-27,108.24409722222224
2018-05-28,112.6517361111111
2018-05-29,69.93506944444444
2018-05-30,61.769444444444446
2018-05-31,96.52291666666667
2018-06-01,4.8805555555555555
2018-06-02,1.7975694444444443
2018-06-03,14.79826388888889
2018-06-04,23.04236111111111
2018-06-05,20.94201388888889
2018-06-06,81.90104166666667
2018-06-07,200.47395833333334
2018-06-08,83.38263888888889
2018-06-09,-0.7815972222222224
2018-06-10,4.992708333333334
2018-06-11,142.60347222222222
2018-06-12,77.77777777777779
2018-06-13,57.63993055555556
2018-06-14,119.95243055555555
2018-06-15,72.58784722222222
2018-06-16,36.441319444444446
2018-06-17,199.82638888888889
2018-06-18,104.35104166666667
2018-06-19,30.14027777777778
2018-06-20,96.75451388888888
2018-06-21,1.1006944444444446
2018-06-22,5.028819444444445
2018-06-23,12.28263888888889
2018-06-24,29.78333333333333
2018-06-25,7.868468749999999
2018-06-26,3.3194444444444446
2018-06-27,-0.6340277777777777
2018-06-28,-0.634375
2018-06-29,112.62118055555555
2018-06-30,79.18125
2018-07-01,-1.3177083333333333
2018-07-02,46.520833333333336
2018-07-03,173.00312499999998
2018-07-04,182.23125000000002
2018-07-05,151.92430555555555
2018-07-06,106.22569444444444
2018-07-07,171.46701388888889
2018-07-08,184.13819444444445
2018-07-09,79.43715277777778
2018-07-10,5.338888888888889
2018-07-11,29.177083333333332
2018-07-12,12.450000000000001
2018-07-13,4.137152777777778
2018-07-14,50.88298611111111
2018-07-15,83.33715277777777
2018-07-16,96.97708333333333
2018-07-17,147.23125000000002
2018-07-18,113.22743055555556
2018-07-19,90.66631944444445
2018-07-20,42.956250000000004
2018-07-21,18.368750000000002
2018-07-22,127.81458333333335
2018-07-23,206.1205
2018-07-24,115.88125000000001
2018-07-25,12.140277777777778
2018-07-26,8.129513888888889
2018-07-27,38.44826388888889
2018-07-28,37.30277777777778
2018-07-29,114.20208333333333
2018-07-30,97.19652777777777
2018-07-31,105.44201388888888
2018-08-01,8.908333333333333
2018-08-02,159.05173611111113
2018-08-03,126.69722222222221
2018-08-04,113.97569444444444
2018-08-05,185.5
2018-08-06,92.02986111111112
2018-08-07,84.93368055555555
2018-08-08,83.89652777777778
2018-08-09,104.04131944444445
2018-08-10,184.65625
2018-08-11,43.23888888888889
2018-08-12,24.51770833333333
2018-08-13,28.81736111111111
2018-08-14,127.39027777777778
2018-08-15,124.74027777777779
2018-08-16,9.631597222222222
2018-08-17,86.13055555555555
2018-08-18,96.22604166666667
2018-08-19,167.58958333333334
2018-08-20,44.541666666666664
2018-08-21,28.784375
2018-08-22,1.8909722222222223
2018-08-23,14.994097222222223
2018-08-24,12.150347222222223
2018-08-25,7.971875
2018-08-26,55.49583333333334
2018-08-27,77.68506944444444
2018-08-28,4.821527777777778
2018-08-29,16.307291666666668
2018-08-30,153.89930555555557
2018-08-31,72.11041666666667
2018-09-01,67.64548611111111
2018-09-02,24.25451388888889
2018-09-03,37.606944444444444
2018-09-04,37.40451388888889
2018-09-05,156.42395833333333
2018-09-06,148.55659722222222
2018-09-07,19.450694444444444
2018-09-08,42.56388888888889
2018-09-09,29.084374999999998
2018-09-10,6.698159722222222
2018-09-11,150.68958333333333
2018-09-12,51.067708333333336
2018-09-13,34.93926388888889
2018-09-14,136.60972222222222
2018-09-15,138.20624999999998
2018-09-16,16.197569444444444
2018-09-17,106.43541666666665
2018-09-18,108.58993055555555
2018-09-19,29.17809027777778
2018-09-20,8.006597222222222
2018-09-21,2.214236111111111
2018-09-22,19.624305555555555
2018-09-23,101.55312500000001
2018-09-24,108.76875
2018-09-25,66.27499999999999
2018-09-26,20.502777777777776
2018-09-27,82.05806597222222
2018-09-28,40.838541666666664
2018-09-29,43.178125
2018-09-30,0.9086805555555554
2018-10-01,17.913888888888888
2018-10-02,83.75347222222221
2018-10-03,12.463888888888889
2018-10-04,159.13576388888887
2018-10-05,56.34270833333334
2018-10-06,15.614236111111111
2018-10-07,33.21666666666667
2018-10-08,26.65173611111111
2018-10-09,75.94375000000001
2018-10-10,174.15937499999998
2018-10-11,35.33680555555556
2018-10-12,24.87465277777778
2018-10-13,76.08715277777777
2018-10-14,164.04409722222223
2018-10-15,204.16180555555556
2018-10-16,148.1295138888889
2018-10-17,35.765277777777776
2018-10-18,22.19861111111111
2018-10-19,108.48854166666666
2018-10-20,115.25381944444445
2018-10-21,3.3166666666666664
2018-10-22,106.590625
2018-10-23,118.79479166666665
2018-10-24,48.72673611111111
2018-10-25,43.23029861111112
2018-10-26,63.48773958333334
2018-10-27,121.14791666666667
2018-10-28,66.31041666666667
2018-10-29,40.45520833333333
2018-10-30,26.052777777777777
2018-10-31,15.052430555555555
2018-11-01,85.27499999999999
2018-11-02,127.46006944444444
2018-11-03,50.36631944444445
2018-11-04,16.277083333333334
2018-11-05,67.46736111111112
2018-11-06,39.451388888888886
2018-11-07,57.09479166666667
2018-11-08,19.40763888888889
2018-11-09,30.56493055555556
2018-11-10,17.421180555555555
2018-11-11,13.769097222222221
2018-11-12,56.98159722222223
2018-11-13,59.57604166666667
2018-11-14,47.01458333333333
2018-11-15,65.65021875000001
2018-11-16,60.13923611111111
2018-11-17,132.3795138888889
2018-11-18,34.38368055555555
2018-11-19,85.10277777777777
2018-11-20,56.90590277777778
2018-11-21,55.31666666666667
2018-11-22,122.28750000000001
2018-11-23,191.57430555555553
2018-11-24,114.67291666666667
2018-11-25,87.20937500000001
2018-11-26,41.47673611111111
2018-11-27,69.98958333333333
2018-11-28,137.78993055555554
2018-11-29,57.05243055555556
2018-11-30,36.26701388888889
2018-12-01,121.98993055555555
2018-12-02,101.63819444444444
2018-12-03,96.74583333333334
2018-12-04,48.169444444444444
2018-12-05,7.909722222222221
2018-12-06,53.756298611111106
2018-12-07,122.50902777777777
2018-12-08,63.95451388888889
2018-12-09,24.802083333333332
2018-12-10,71.16319444444444
2018-12-11,20.96701388888889
2018-12-12,55.90833333333333
2018-12-13,112.77604166666667
2018-12-14,42.907986111111114
2018-12-15,28.740277777777777
2018-12-16,12.367708333333333
2018-12-17,59.67847222222222
2018-12-18,54.045138888888886
2018-12-19,4.311197916666667
2018-12-20,104.19652777777777
2018-12-21,171.56631944444442
2018-12-22,93.36944444444445
2018-12-23,9.907638888888888
2018-12-24,39.748958333333334
2018-12-25,50.08090277777777
2018-12-26,20.350694444444443
2018-12-27,81.97013888888888
2018-12-28,81.67708333333333
2018-12-29,43.44409722222222
2018-12-30,57.547222222222224
2018-12-31,54.50208333333333
