,SAPHWF1
2018-01-01,0.0
2018-01-02,0.0
2018-01-03,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-06,0.0
2018-01-07,0.0
2018-01-08,0.0
2018-01-09,0.0
2018-01-10,0.0
2018-01-11,0.0
2018-01-12,0.0
2018-01-13,0.0
2018-01-14,0.0
2018-01-15,0.0
2018-01-16,0.0
2018-01-17,0.0
2018-01-18,0.0
2018-01-19,0.0
2018-01-20,0.0
2018-01-21,0.0
2018-01-22,0.0
2018-01-23,0.0
2018-01-24,0.0
2018-01-25,0.0
2018-01-26,0.0
2018-01-27,0.0
2018-01-28,0.0
2018-01-29,0.0
2018-01-30,0.0
2018-01-31,0.0
2018-02-01,0.683236111111111
2018-02-02,1.7709305555555555
2018-02-03,1.6641180555555557
2018-02-04,2.0561979166666666
2018-02-05,1.8343854166666667
2018-02-06,1.7546423611111113
2018-02-07,1.6988263888888888
2018-02-08,1.668423611111111
2018-02-09,0.2372013888888889
2018-02-10,0.5862673611111111
2018-02-11,0.19504861111111108
2018-02-12,5.511777777777778
2018-02-13,12.942166666666667
2018-02-14,15.581246527777777
2018-02-15,10.49875
2018-02-16,11.57579861111111
2018-02-17,29.616201388888893
2018-02-18,19.06235416666667
2018-02-19,13.033465277777779
2018-02-20,16.692625
2018-02-21,30.79261111111111
2018-02-22,32.23313541666666
2018-02-23,34.79600347222222
2018-02-24,14.825104166666668
2018-02-25,7.627684027777778
2018-02-26,1.8873819444444446
2018-02-27,11.115545138888889
2018-02-28,10.435725694444445
2018-03-01,0.9351284722222223
2018-03-02,12.320072916666668
2018-03-03,15.23298263888889
2018-03-04,2.098638888888889
2018-03-05,8.549479166666666
2018-03-06,30.711576388888886
2018-03-07,37.76661111111111
2018-03-08,28.28622222222222
2018-03-09,27.787177083333333
2018-03-10,30.17042013888889
2018-03-11,23.920444444444446
2018-03-12,21.210211805555556
2018-03-13,34.777684027777774
2018-03-14,41.56197916666667
2018-03-15,17.726059027777776
2018-03-16,9.896694444444444
2018-03-17,7.695715277777778
2018-03-18,1.2141770833333334
2018-03-19,11.806086805555557
2018-03-20,22.45079513888889
2018-03-21,44.88300347222222
2018-03-22,39.79399305555555
2018-03-23,37.23085069444445
2018-03-24,28.96489930555556
2018-03-25,13.786239583333334
2018-03-26,13.453347222222222
2018-03-27,22.562385416666668
2018-03-28,26.91747222222222
2018-03-29,24.424048611111115
2018-03-30,23.558256944444448
2018-03-31,33.28311111111111
2018-04-01,32.25590972222222
2018-04-02,17.703489583333333
2018-04-03,25.002680555555557
2018-04-04,46.54154166666667
2018-04-05,39.40486805555556
2018-04-06,35.964555555555556
2018-04-07,38.42158333333334
2018-04-08,28.305458333333334
2018-04-09,5.629951388888888
2018-04-10,17.84407638888889
2018-04-11,33.992756944444444
2018-04-12,15.349621527777778
2018-04-13,16.90605902777778
2018-04-14,28.77994097222222
2018-04-15,36.49384375
2018-04-16,10.328312500000001
2018-04-17,17.515965277777777
2018-04-18,47.43629166666667
2018-04-19,24.518243055555555
2018-04-20,6.232378472222223
2018-04-21,21.25492708333333
2018-04-22,17.130690972222222
2018-04-23,15.348559027777776
2018-04-24,4.323427083333333
2018-04-25,0.47880902777777773
2018-04-26,9.655319444444444
2018-04-27,16.471881944444444
2018-04-28,19.09939236111111
2018-04-29,17.334413194444444
2018-04-30,13.68107638888889
2018-05-01,19.90277777777778
2018-05-02,6.010972222222222
2018-05-03,2.0616736111111114
2018-05-04,14.753565972222221
2018-05-05,12.119378472222223
2018-05-06,30.135704861111112
2018-05-07,19.937586805555558
2018-05-08,4.633121527777778
2018-05-09,5.286350694444445
2018-05-10,15.8053125
2018-05-11,29.169975694444446
2018-05-12,30.586288194444446
2018-05-13,12.085479166666666
2018-05-14,11.616465277777777
2018-05-15,1.7902013888888888
2018-05-16,12.220663194444446
2018-05-17,8.993350694444445
2018-05-18,2.675486111111111
2018-05-19,1.8535416666666666
2018-05-20,6.023565972222222
2018-05-21,15.807131944444444
2018-05-22,13.836381944444446
2018-05-23,10.631347222222223
2018-05-24,2.4623472222222222
2018-05-25,21.54671875
2018-05-26,26.864447916666666
2018-05-27,19.486409722222223
2018-05-28,13.738138888888889
2018-05-29,8.540229166666668
2018-05-30,35.04850347222222
2018-05-31,44.90053125
2018-06-01,28.756138888888888
2018-06-02,34.340531250000005
2018-06-03,8.129743055555556
2018-06-04,14.027892361111112
2018-06-05,40.94640625
2018-06-06,74.13451388888889
2018-06-07,72.81836111111112
2018-06-08,28.692121527777775
2018-06-09,3.729413194444444
2018-06-10,13.992409722222222
2018-06-11,13.44051736111111
2018-06-12,19.09430902777778
2018-06-13,18.638694444444443
2018-06-14,25.36148611111111
2018-06-15,41.557579861111115
2018-06-16,54.23100694444444
2018-06-17,78.1501701388889
2018-06-18,50.90277430555556
2018-06-19,44.86513194444444
2018-06-20,22.07347222222222
2018-06-21,42.79496875
2018-06-22,19.13754513888889
2018-06-23,3.223090277777778
2018-06-24,2.072788194444444
2018-06-25,33.438746527777774
2018-06-26,62.66846180555555
2018-06-27,64.24820833333332
2018-06-28,23.020850694444444
2018-06-29,0.3059756944444445
2018-06-30,6.427572916666667
2018-07-01,13.830628472222223
2018-07-02,45.70937847222223
2018-07-03,34.10215625
2018-07-04,60.40252777777778
2018-07-05,31.28061111111111
2018-07-06,46.639263888888884
2018-07-07,66.49788194444444
2018-07-08,69.29264930555556
2018-07-09,41.610968750000005
2018-07-10,38.19054166666667
2018-07-11,17.24378472222222
2018-07-12,32.891871527777774
2018-07-13,26.491947916666664
2018-07-14,10.77046875
2018-07-15,3.2382361111111106
2018-07-16,34.21664583333334
2018-07-17,13.532989583333332
2018-07-18,29.875774305555556
2018-07-19,25.66146875
2018-07-20,125.44018055555556
2018-07-21,36.32855208333333
2018-07-22,46.48402083333334
2018-07-23,27.907756944444444
2018-07-24,24.20970486111111
2018-07-25,15.296850694444444
2018-07-26,7.015559027777777
2018-07-27,68.32817708333333
2018-07-28,7.433562500000001
2018-07-29,87.91814236111111
2018-07-30,43.233413194444445
2018-07-31,12.138524305555556
2018-08-01,14.831906250000001
2018-08-02,67.5025
2018-08-03,104.77124652777779
2018-08-04,24.983114583333332
2018-08-05,26.05099652777778
2018-08-06,100.70115625
2018-08-07,77.40930208333333
2018-08-08,29.71075
2018-08-09,32.13607291666667
2018-08-10,44.16868402777778
2018-08-11,89.8985173611111
2018-08-12,100.57640624999999
2018-08-13,53.095638888888885
2018-08-14,11.842541666666667
2018-08-15,18.845670138888888
2018-08-16,61.886947916666664
2018-08-17,55.59922222222222
2018-08-18,71.17981944444445
2018-08-19,121.46670486111111
2018-08-20,75.8056388888889
2018-08-21,76.06305208333333
2018-08-22,29.480156249999997
2018-08-23,29.192534722222224
2018-08-24,93.83813194444444
2018-08-25,56.56952777777778
2018-08-26,72.69546180555555
2018-08-27,40.573506944444446
2018-08-28,27.573711805555558
2018-08-29,31.612114583333334
2018-08-30,9.215979166666665
2018-08-31,127.36928472222222
2018-09-01,93.80267361111112
2018-09-02,48.50416666666666
2018-09-03,100.52033333333333
2018-09-04,144.09185763888888
2018-09-05,139.47675694444445
2018-09-06,102.13835416666666
2018-09-07,79.20514930555555
2018-09-08,70.44650347222222
2018-09-09,39.132527777777774
2018-09-10,47.16467013888889
2018-09-11,9.668784722222222
2018-09-12,11.138333333333334
2018-09-13,22.956545138888888
2018-09-14,22.200680555555554
2018-09-15,95.85749652777777
2018-09-16,49.02108333333334
2018-09-17,86.28180555555555
2018-09-18,71.82673611111112
2018-09-19,98.36044791666667
2018-09-20,51.093795138888886
2018-09-21,39.94505902777778
2018-09-22,26.63392361111111
2018-09-23,32.136833333333335
2018-09-24,139.61634722222223
2018-09-25,116.82491319444445
2018-09-26,50.33207986111111
2018-09-27,15.092309027777778
2018-09-28,30.66913888888889
2018-09-29,73.11436458333334
2018-09-30,139.12499652777777
2018-10-01,95.83899305555555
2018-10-02,51.106923611111114
2018-10-03,8.9963125
2018-10-04,35.25953125
2018-10-05,2.9411701388888893
2018-10-06,25.781218749999997
2018-10-07,20.43978125
2018-10-08,16.02301041666667
2018-10-09,31.458729166666668
2018-10-10,80.27614930555556
2018-10-11,190.99630555555555
2018-10-12,193.95590277777777
2018-10-13,197.34242708333332
2018-10-14,193.58698958333332
2018-10-15,181.9030798611111
2018-10-16,195.01784722222223
2018-10-17,136.95193055555555
2018-10-18,94.56590277777777
2018-10-19,58.87970833333333
2018-10-20,30.018145833333335
2018-10-21,31.48705902777778
2018-10-22,63.38957638888889
2018-10-23,22.191802083333332
2018-10-24,36.863586805555556
2018-10-25,76.11470138888889
2018-10-26,59.669204861111105
2018-10-27,25.27592361111111
2018-10-28,62.55228819444445
2018-10-29,67.08413888888889
2018-10-30,50.630489583333336
2018-10-31,22.257538194444447
2018-11-01,70.45097569444444
2018-11-02,67.57828819444444
2018-11-03,53.75039236111112
2018-11-04,41.67850694444444
2018-11-05,37.30777083333333
2018-11-06,96.99593402777778
2018-11-07,80.610625
2018-11-08,66.16166666666666
2018-11-09,71.13497222222223
2018-11-10,50.605909722222215
2018-11-11,79.60024652777777
2018-11-12,95.80033680555556
2018-11-13,115.66912847222221
2018-11-14,50.273746527777774
2018-11-15,35.605350694444446
2018-11-16,133.50882638888888
2018-11-17,132.35116319444444
2018-11-18,206.3872673611111
2018-11-19,111.33895833333334
2018-11-20,53.85904166666666
2018-11-21,133.6655451388889
2018-11-22,187.01086458333336
2018-11-23,219.9352673611111
2018-11-24,202.08340972222223
2018-11-25,133.9745625
2018-11-26,83.989
2018-11-27,40.58481944444444
2018-11-28,206.29899305555557
2018-11-29,80.56869791666666
2018-11-30,51.367475694444444
2018-12-01,26.047475694444444
2018-12-02,146.15557291666667
2018-12-03,45.948378472222224
2018-12-04,66.34799652777777
2018-12-05,191.62902777777776
2018-12-06,190.37796875
2018-12-07,173.24162152777777
2018-12-08,133.3922951388889
2018-12-09,63.511600694444446
2018-12-10,49.90002777777778
2018-12-11,83.65692013888889
2018-12-12,111.41738541666666
2018-12-13,124.62590625
2018-12-14,132.38061458333334
2018-12-15,151.45792708333332
2018-12-16,107.80049652777778
2018-12-17,90.00442361111111
2018-12-18,62.29465972222223
2018-12-19,50.69672916666667
2018-12-20,76.46042361111111
2018-12-21,147.29299305555557
2018-12-22,84.23774305555555
2018-12-23,109.83582638888889
2018-12-24,145.39348958333332
2018-12-25,63.86259722222223
2018-12-26,51.6519375
2018-12-27,58.16751388888889
2018-12-28,74.34534722222223
2018-12-29,87.77274652777777
2018-12-30,85.50591319444446
2018-12-31,53.504263888888886
